Reconstruction Coord z;Map Coord z;Error z;;;;;
0,018647;0,456721;0,438074;;;;;
0,034923;0,472869;0,437946;;;;;
0,03991;0,477559;0,437648;;;;;
0,017793;0,455373;0,43758;;;;;
0,01544;0,452583;0,437143;;;;;
0,00268;0,439711;0,437031;;;;;
0,034096;0,470404;0,436307;;;;;
0,031125;0,46714;0,436014;;;;;
0,035524;0,471006;0,435482;;;;;
0,014319;0,449753;0,435433;;;;;
0,020756;0,455745;0,434989;;;;;
0,014875;0,449864;0,434989;;;;;
0,014875;0,449864;0,434989;;;;;
0,003957;0,43885;0,434893;;;;;
0,032803;0,466511;0,433707;;;;;
0,045199;0,478859;0,433659;;;;;
0,034803;0,468423;0,43362;;;;;
0,000052;0,433406;0,433354;;;;;
0,002229;0,435447;0,433218;;;;;
0,034847;0,467982;0,433135;;;;;
0,022761;0,455261;0,432499;;;;;
0,035127;0,467027;0,4319;;;;;
0,022494;0,454138;0,431644;;;;;
0,022494;0,454138;0,431644;;;;;
0,012734;0,444088;0,431353;;;;;
0,018502;0,449293;0,430791;;;;;
0,000604;0,430978;0,430373;;;;;
0,032548;0,462426;0,429877;;;;;
0,003941;0,433406;0,429465;;;;;
0,016933;0,444966;0,428033;;;;;
0,03141;0,459038;0,427628;;;;;
0,03141;0,459038;0,427628;;;;;
0,027837;0,455261;0,427423;;;;;
0,026626;0,453675;0,427049;;;;;
0,013641;0,440157;0,426516;;;;;
0,04716;0,473187;0,426028;;;;;
0,103217;0,529205;0,425988;;;;;
0,034689;0,459768;0,425078;;;;;
0,022437;0,447453;0,425016;;;;;
0,018344;0,442834;0,42449;;;;;
0,016341;0,440396;0,424055;;;;;
0,016366;0,440292;0,423926;;;;;
0,032828;0,456603;0,423775;;;;;
0,002104;0,425844;0,42374;;;;;
0,077098;0,498975;0,421877;;;;;
0,012365;0,434226;0,421862;;;;;
0,034132;0,455745;0,421613;;;;;
0,034569;0,45615;0,421581;;;;;
0,004589;0,42543;0,42084;;;;;
0,013492;0,434226;0,420734;;;;;
0,012395;0,432791;0,420395;;;;;
0,012329;0,432668;0,420339;;;;;
0,011577;0,431791;0,420214;;;;;
0,015636;0,435408;0,419773;;;;;
0,013086;0,432791;0,419705;;;;;
0,003704;0,423384;0,419679;;;;;
0,014603;0,43419;0,419587;;;;;
0,013903;0,433425;0,419522;;;;;
0,013903;0,433425;0,419522;;;;;
0,011179;0,430503;0,419324;;;;;
0,002473;0,421686;0,419212;;;;;
0,034669;0,453821;0,419152;;;;;
0,013252;0,432108;0,418857;;;;;
0,019835;0,438595;0,41876;;;;;
0,019835;0,438595;0,41876;;;;;
0,026107;0,444492;0,418384;;;;;
0,033582;0,451749;0,418168;;;;;
0,011241;0,429132;0,417892;;;;;
0,027427;0,44527;0,417844;;;;;
0,014823;0,432587;0,417765;;;;;
0,032952;0,450432;0,417479;;;;;
